index,full_name,short_name,description,output_type
1060,ee.Image.int8,int8,Casts the input value to a signed 8-bit integer.,Image
1061,ee.Number.int8,int8,Casts the input value to a signed 8-bit integer.,Number
1062,ee.Array.lanczos,lanczos,"On an element-wise basis, computes the Lanczos approximation of the input.",Array
1063,ee.Image.lanczos,lanczos,Computes the Lanczos approximation of the input.,Image
1064,ee.Number.lanczos,lanczos,Computes the Lanczos approximation of the input.,Number
1065,ee.Array.leftShift,leftShift,"On an element-wise basis, calculates the left shift of v1 by v2 bits.",Array
1066,ee.Image.leftShift,leftShift,"Calculates the left shift of v1 by v2 bits for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.",Image
1067,ee.Number.leftShift,leftShift,Calculates the left shift of v1 by v2 bits.,Number
1068,ee.Array.log,log,"On an element-wise basis, computes the natural logarithm of the input.",Array
1069,ee.Image.log,log,Computes the natural logarithm of the input.,Image
1070,ee.Number.log,log,Computes the natural logarithm of the input.,Number
1071,ee.Array.log10,log10,"On an element-wise basis, computes the base-10 logarithm of the input.",Array
1072,ee.Image.log10,log10,Computes the base-10 logarithm of the input.,Image
1073,ee.Number.log10,log10,Computes the base-10 logarithm of the input.,Number
1074,ee.Array.long,long,"On an element-wise basis, casts the input value to a signed 64-bit integer.",Array
1075,ee.Image.long,long,Casts the input value to a signed 64-bit integer.,Image
1076,ee.Number.long,long,Casts the input value to a signed 64-bit integer.,Number
1077,ee.Array.lt,lt,"On an element-wise basis, returns 1 iff the first value is less than the second.",Array
1078,ee.Image.lt,lt,"Returns 1 iff the first value is less than the second for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is boolean.",Image
1079,ee.Number.lt,lt,Returns 1 iff the first value is less than the second.,Number
1080,ee.Array.lte,lte,"On an element-wise basis, returns 1 iff the first value is less than or equal to the second.",Array
1081,ee.Image.lte,lte,"Returns 1 iff the first value is less than or equal to the second for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is boolean.",Image
1082,ee.Number.lte,lte,Returns 1 iff the first value is less than or equal to the second.,Number
1083,ee.Array.mask,mask,Creates a subarray by slicing out each position in an input array that is parallel to a non-zero element of the given mask array.,Array
1084,ee.Image.mask,mask,"Gets or sets an image's mask. The output image retains the metadata and footprint of the input image. Pixels where the mask changes from zero to another value will be filled with zeros, or the values closest to zero within the range of the pixel type.",Image
1085,ee.Array.matrixCholeskyDecomposition,matrixCholeskyDecomposition,Calculates the Cholesky decomposition of a matrix. The Cholesky decomposition is a decomposition into the form L * L' where L is a lower triangular matrix. The input must be a symmetric positive-definite matrix. Returns a dictionary with 1 entry named 'L'.,Dictionary
1086,ee.Image.matrixCholeskyDecomposition,matrixCholeskyDecomposition,Calculates the Cholesky decomposition of a matrix. The Cholesky decomposition is a decomposition into the form L * L' where L is a lower triangular matrix. The input must be a symmetric positive-definite matrix. Returns an image with 1 band named 'L'.,Image
1087,ee.Array.matrixDeterminant,matrixDeterminant,Computes the determinant of the matrix.,Number
1088,ee.Image.matrixDeterminant,matrixDeterminant,Computes the determinant of the matrix.,Image
1089,ee.Array.matrixDiagonal,matrixDiagonal,Computes the diagonal of the matrix in a single column.,Array
1090,ee.Image.matrixDiagonal,matrixDiagonal,Computes the diagonal of the matrix in a single column.,Image
1091,ee.Array.matrixFnorm,matrixFnorm,Computes the Frobenius norm of the matrix.,Number
1092,ee.Image.matrixFnorm,matrixFnorm,Computes the Frobenius norm of the matrix.,Image
1093,ee.Array.matrixInverse,matrixInverse,Computes the inverse of the matrix.,Array
1094,ee.Image.matrixInverse,matrixInverse,Computes the inverse of the matrix.,Image
1095,ee.Array.matrixLUDecomposition,matrixLUDecomposition,"Calculates the LU matrix decomposition such that P×input=L×U, where L is lower triangular (with unit diagonal terms), U is upper triangular and P is a partial pivot permutation matrix. The input matrix must be square. Returns a dictionary with entries named 'L', 'U' and 'P'.",Dictionary
1096,ee.Image.matrixLUDecomposition,matrixLUDecomposition,"Calculates the LU matrix decomposition such that P×input=L×U, where L is lower triangular (with unit diagonal terms), U is upper triangular and P is a partial pivot permutation matrix. The input matrix must be square. Returns an image with bands named 'L', 'U' and 'P'.",Image
1097,ee.Array.matrixMultiply,matrixMultiply,Returns the matrix multiplication A * B.,Array
1098,ee.Image.matrixMultiply,matrixMultiply,"Returns the matrix multiplication A * B for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.",Image
1099,ee.Array.matrixPseudoInverse,matrixPseudoInverse,Computes the Moore-Penrose pseudoinverse of the matrix.,Array
1100,ee.Image.matrixPseudoInverse,matrixPseudoInverse,Computes the Moore-Penrose pseudoinverse of the matrix.,Image
1101,ee.Array.matrixQRDecomposition,matrixQRDecomposition,"Calculates the QR-decomposition of a matrix into two matrices Q and R such that input = QR, where Q is orthogonal, and R is upper triangular. Returns a dictionary with entries named 'Q' and 'R'.",Dictionary
1102,ee.Image.matrixQRDecomposition,matrixQRDecomposition,"Calculates the QR-decomposition of a matrix into two matrices Q and R such that input = QR, where Q is orthogonal, and R is upper triangular. Returns an image with bands named 'Q' and 'R'.",Image
1103,ee.Array.matrixSingularValueDecomposition,matrixSingularValueDecomposition,"Calculates the Singular Value Decomposition of the input matrix into U×S×V', such that U and V are orthogonal and S is diagonal. Returns a dictionary with entries named 'U', 'S' and 'V'.",Dictionary
1104,ee.Image.matrixSingularValueDecomposition,matrixSingularValueDecomposition,"Calculates the Singular Value Decomposition of the input matrix into U×S×V', such that U and V are orthogonal and S is diagonal. Returns an image with bands named 'U', 'S' and 'V'.",Image
1105,ee.Array.matrixSolve,matrixSolve,"Solves for x in the matrix equation A * x = B, finding a least-squares solution if A is overdetermined.",Array
1106,ee.Image.matrixSolve,matrixSolve,"Solves for x in the matrix equation A * x = B, finding a least-squares solution if A is overdetermined for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.",Image
1107,ee.Array.matrixToDiag,matrixToDiag,Computes a square diagonal matrix from a single column matrix.,Array
1108,ee.Image.matrixToDiag,matrixToDiag,Computes a square diagonal matrix from a single column matrix.,Image
1109,ee.Array.matrixTranspose,matrixTranspose,Transposes two dimensions of an array.,Array
1110,ee.Image.matrixTranspose,matrixTranspose,Transposes two dimensions of each array pixel.,Image
1111,ee.Array.max,max,"On an element-wise basis, selects the maximum of the first and second values.",Array
1112,ee.Image.max,max,"Selects the maximum of the first and second values for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.",Image
1113,ee.ImageCollection.max,max,Reduces an image collection by calculating the maximum value of each pixel across the stack of all matching bands. Bands are matched by name.,Image
1114,ee.Number.max,max,Selects the maximum of the first and second values.,Number
1115,ee.FeatureCollection.merge,merge,Merges two collections into one. The result has all the elements that were in either collection.,FeatureCollection
1116,ee.ImageCollection.merge,merge,Merges two image collections into one. The result has all the images that were in either collection.,ImageCollection
1117,ee.Array.min,min,"On an element-wise basis, selects the minimum of the first and second values.",Array
1118,ee.Image.min,min,"Selects the minimum of the first and second values for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.",Image
1119,ee.ImageCollection.min,min,Reduces an image collection by calculating the minimum value of each pixel across the stack of all matching bands. Bands are matched by name.,Image
1120,ee.Number.min,min,Selects the minimum of the first and second values.,Number
1121,ee.Array.mod,mod,"On an element-wise basis, calculates the remainder of the first value divided by the second.",Array
1122,ee.Image.mod,mod,"Calculates the remainder of the first value divided by the second for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.",Image
1123,ee.Number.mod,mod,Calculates the remainder of the first value divided by the second.,Number
1124,ee.Array.multiply,multiply,"On an element-wise basis, multiplies the first value by the second.",Array
1125,ee.Image.multiply,multiply,"Multiplies the first value by the second for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.",Image
1126,ee.Number.multiply,multiply,Multiplies the first value by the second.,Number
1127,ee.Array.neq,neq,"On an element-wise basis, returns 1 iff the first value is not equal to the second.",Array
1128,ee.Image.neq,neq,"Returns 1 iff the first value is not equal to the second for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is boolean.",Image
1129,ee.Number.neq,neq,Returns 1 iff the first value is not equal to the second.,Number
1130,ee.Array.not,not,"On an element-wise basis, returns 0 if the input is non-zero, and 1 otherwise.",Array
1131,ee.Image.not,not,"Returns 0 if the input is non-zero, and 1 otherwise.",Image
1132,ee.Number.not,not,"Returns 0 if the input is non-zero, and 1 otherwise.",Number
1133,ee.Array.or,or,"On an element-wise basis, returns 1 iff either input value is non-zero.",Array
1134,ee.Image.or,or,"Returns 1 iff either input value is non-zero for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is boolean.",Image
1135,ee.ImageCollection.or,or,Reduces an image collection by setting each pixel to 1 iff any of the non-masked values at that pixel are non-zero across the stack of all matching bands. Bands are matched by name.,Image
1136,ee.Number.or,or,Returns 1 iff either input value is non-zero.,Number
1137,ee.Array.pow,pow,"On an element-wise basis, raises the first value to the power of the second.",Array
1138,ee.Image.pow,pow,"Raises the first value to the power of the second for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is float.",Image
1139,ee.Number.pow,pow,Raises the first value to the power of the second.,Number
1140,ee.List.replace,replace,Replaces the first occurrence of oldVal in list with newVal.,List
1141,ee.String.replace,replace,Returns a new string with some or all matches of a pattern replaced.,String
1142,ee.Array.rightShift,rightShift,"On an element-wise basis, calculates the signed right shift of v1 by v2 bits.",Array
1143,ee.Image.rightShift,rightShift,"Calculates the signed right shift of v1 by v2 bits for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.",Image
1144,ee.Number.rightShift,rightShift,Calculates the signed right shift of v1 by v2 bits.,Number
1145,ee.Array.round,round,"On an element-wise basis, computes the integer nearest to the input.",Array
1146,ee.Image.round,round,Computes the integer nearest to the input.,Image
1147,ee.Number.round,round,Computes the integer nearest to the input.,Number
1148,ee.Array.short,short,"On an element-wise basis, casts the input value to a signed 16-bit integer.",Array
1149,ee.Image.short,short,Casts the input value to a signed 16-bit integer.,Image
1150,ee.Number.short,short,Casts the input value to a signed 16-bit integer.,Number
1151,ee.Array.signum,signum,"On an element-wise basis, computes the signum function (sign) of the input; zero if the input is zero, 1 if the input is greater than zero, -1 if the input is less than zero.",Array
1152,ee.Image.signum,signum,"Computes the signum function (sign) of the input; zero if the input is zero, 1 if the input is greater than zero, -1 if the input is less than zero.",Image
1153,ee.Number.signum,signum,"Computes the signum function (sign) of the input; zero if the input is zero, 1 if the input is greater than zero, -1 if the input is less than zero.",Number
1154,ee.Array.sin,sin,"On an element-wise basis, computes the sine of the input in radians.",Array
1155,ee.Image.sin,sin,Computes the sine of the input in radians.,Image
1156,ee.Number.sin,sin,Computes the sine of the input in radians.,Number
1157,ee.Array.sinh,sinh,"On an element-wise basis, computes the hyperbolic sine of the input.",Array
1158,ee.Image.sinh,sinh,Computes the hyperbolic sine of the input.,Image
1159,ee.Number.sinh,sinh,Computes the hyperbolic sine of the input.,Number
1160,ee.Array.slice,slice,"Creates a subarray by slicing out each position along the given axis from the 'start' (inclusive) to 'end' (exclusive) by increments of 'step'. The result will have as many dimensions as the input, and the same length in all directions except the slicing axis, where the length will be the number of positions from 'start' to 'end' by 'step' that are in range of the input array's length along 'axis'. This means the result can be length 0 along the given axis if start=end, or if the start or end values are entirely out of range.",Array
1161,ee.Image.slice,slice,Selects a contiguous group of bands from an image by position.,Image
1162,ee.List.slice,slice,"Returns a portion of list between the start index, inclusive, and end index, exclusive.  Negative values for start or end count backwards from the end of the list.  Values greater than the size of the list are legal but are truncated to the size of list.",List
1163,ee.String.slice,slice,"Returns a substring of the given string. If the specified range exceeds the length of the string, returns a shorter substring.",String
1164,ee.Array.sort,sort,Sorts elements of the array along one axis.,Array
1165,ee.FeatureCollection.sort,sort,Sort a collection by the specified property.,FeatureCollection
1166,ee.ImageCollection.sort,sort,Sort a collection by the specified property.,ImageCollection
1167,ee.List.sort,sort,"Sorts the list into ascending order.  If the 'keys' argument is provided, then it is sorted first, and the elements of 'list' are placed in the same order.",List
1168,ee.Array.sqrt,sqrt,"On an element-wise basis, computes the square root of the input.",Array
1169,ee.Image.sqrt,sqrt,Computes the square root of the input.,Image
1170,ee.Number.sqrt,sqrt,Computes the square root of the input.,Number
1171,ee.Array.subtract,subtract,"On an element-wise basis, subtracts the second value from the first.",Array
1172,ee.Image.subtract,subtract,"Subtracts the second value from the first for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.",Image
1173,ee.Number.subtract,subtract,Subtracts the second value from the first.,Number
1174,ee.Array.tan,tan,"On an element-wise basis, computes the tangent of the input in radians.",Array
1175,ee.Image.tan,tan,Computes the tangent of the input in radians.,Image
1176,ee.Number.tan,tan,Computes the tangent of the input in radians.,Number
1177,ee.Array.tanh,tanh,"On an element-wise basis, computes the hyperbolic tangent of the input.",Array
1178,ee.Image.tanh,tanh,Computes the hyperbolic tangent of the input.,Image
1179,ee.Number.tanh,tanh,Computes the hyperbolic tangent of the input.,Number
1180,ee.Array.toByte,toByte,"On an element-wise basis, casts the input value to an unsigned 8-bit integer.",Array
1181,ee.Image.toByte,toByte,Casts the input value to an unsigned 8-bit integer.,Image
1182,ee.Number.toByte,toByte,Casts the input value to an unsigned 8-bit integer.,Number
1183,ee.Feature.toDictionary,toDictionary,Extract properties from a feature as a dictionary.,Dictionary
1184,ee.FeatureCollection.toDictionary,toDictionary,Extract properties from a feature as a dictionary.,Dictionary
1185,ee.Image.toDictionary,toDictionary,Extract properties from a feature as a dictionary.,Dictionary
1186,ee.ImageCollection.toDictionary,toDictionary,Extract properties from a feature as a dictionary.,Dictionary
1187,ee.Array.toDouble,toDouble,"On an element-wise basis, casts the input value to a 64-bit float.",Array
1188,ee.Image.toDouble,toDouble,Casts the input value to a 64-bit float.,Image
1189,ee.Number.toDouble,toDouble,Casts the input value to a 64-bit float.,Number
1190,ee.Array.toFloat,toFloat,"On an element-wise basis, casts the input value to a 32-bit float.",Array
1191,ee.Image.toFloat,toFloat,Casts the input value to a 32-bit float.,Image
1192,ee.Number.toFloat,toFloat,Casts the input value to a 32-bit float.,Number
1193,ee.Array.toInt,toInt,"On an element-wise basis, casts the input value to a signed 32-bit integer.",Array
1194,ee.Image.toInt,toInt,Casts the input value to a signed 32-bit integer.,Image
1195,ee.Number.toInt,toInt,Casts the input value to a signed 32-bit integer.,Number
1196,ee.Array.toInt16,toInt16,"On an element-wise basis, casts the input value to a signed 16-bit integer.",Array
1197,ee.Image.toInt16,toInt16,Casts the input value to a signed 16-bit integer.,Image
1198,ee.Number.toInt16,toInt16,Casts the input value to a signed 16-bit integer.,Number
1199,ee.Array.toInt32,toInt32,"On an element-wise basis, casts the input value to a signed 32-bit integer.",Array
1200,ee.Image.toInt32,toInt32,Casts the input value to a signed 32-bit integer.,Image
1201,ee.Number.toInt32,toInt32,Casts the input value to a signed 32-bit integer.,Number
1202,ee.Array.toInt64,toInt64,"On an element-wise basis, casts the input value to a signed 64-bit integer.",Array
1203,ee.Image.toInt64,toInt64,Casts the input value to a signed 64-bit integer.,Image
1204,ee.Number.toInt64,toInt64,Casts the input value to a signed 64-bit integer.,Number
1205,ee.Array.toInt8,toInt8,"On an element-wise basis, casts the input value to a signed 8-bit integer.",Array
1206,ee.Image.toInt8,toInt8,Casts the input value to a signed 8-bit integer.,Image
1207,ee.Number.toInt8,toInt8,Casts the input value to a signed 8-bit integer.,Number
1208,ee.Array.toList,toList,Turns an Array into a list of lists of numbers.,List
1209,ee.FeatureCollection.toList,toList,Returns the elements of a collection as a list.,List
1210,ee.ImageCollection.toList,toList,Returns the elements of a collection as a list.,List
1211,ee.Array.toLong,toLong,"On an element-wise basis, casts the input value to a signed 64-bit integer.",Array
1212,ee.Image.toLong,toLong,Casts the input value to a signed 64-bit integer.,Image
1213,ee.Number.toLong,toLong,Casts the input value to a signed 64-bit integer.,Number
1214,ee.Array.toShort,toShort,"On an element-wise basis, casts the input value to a signed 16-bit integer.",Array
1215,ee.Image.toShort,toShort,Casts the input value to a signed 16-bit integer.,Image
1216,ee.Number.toShort,toShort,Casts the input value to a signed 16-bit integer.,Number
1217,ee.Array.toUint16,toUint16,"On an element-wise basis, casts the input value to an unsigned 16-bit integer.",Array
1218,ee.Image.toUint16,toUint16,Casts the input value to an unsigned 16-bit integer.,Image
1219,ee.Number.toUint16,toUint16,Casts the input value to an unsigned 16-bit integer.,Number
1220,ee.Array.toUint32,toUint32,"On an element-wise basis, casts the input value to an unsigned 32-bit integer.",Array
1221,ee.Image.toUint32,toUint32,Casts the input value to an unsigned 32-bit integer.,Image
1222,ee.Number.toUint32,toUint32,Casts the input value to an unsigned 32-bit integer.,Number
1223,ee.Array.toUint8,toUint8,"On an element-wise basis, casts the input value to an unsigned 8-bit integer.",Array
1224,ee.Image.toUint8,toUint8,Casts the input value to an unsigned 8-bit integer.,Image
1225,ee.Number.toUint8,toUint8,Casts the input value to an unsigned 8-bit integer.,Number
1226,ee.Array.trigamma,trigamma,"On an element-wise basis, computes the trigamma function of the input.",Array
1227,ee.Image.trigamma,trigamma,Computes the trigamma function of the input.,Image
1228,ee.Number.trigamma,trigamma,Computes the trigamma function of the input.,Number
1229,ee.Array.uint16,uint16,"On an element-wise basis, casts the input value to an unsigned 16-bit integer.",Array
1230,ee.Image.uint16,uint16,Casts the input value to an unsigned 16-bit integer.,Image
1231,ee.Number.uint16,uint16,Casts the input value to an unsigned 16-bit integer.,Number
1232,ee.Array.uint32,uint32,"On an element-wise basis, casts the input value to an unsigned 32-bit integer.",Array
1233,ee.Image.uint32,uint32,Casts the input value to an unsigned 32-bit integer.,Image
1234,ee.Number.uint32,uint32,Casts the input value to an unsigned 32-bit integer.,Number
1235,ee.Array.uint8,uint8,"On an element-wise basis, casts the input value to an unsigned 8-bit integer.",Array
1236,ee.Image.uint8,uint8,Casts the input value to an unsigned 8-bit integer.,Image
1237,ee.Number.uint8,uint8,Casts the input value to an unsigned 8-bit integer.,Number
1238,ee.Image.unitScale,unitScale,"Scales the input so that the range of input values [low, high] becomes [0, 1]. Values outside the range are NOT clamped. This algorithm always produces floating point pixels.",Image
1239,ee.Number.unitScale,unitScale,"Scales the input so that the range of input values [min, max] becomes [0, 1]. Values outside the range are NOT clamped.  If min == max, 0 is returned.",Number
1240,ee.FeatureCollection.filterBounds,filterBounds,Shortcut to filter a collection by intersection with geometry. Items in the collection with a footprint that fails to intersect the given geometry will be excluded.,FeatureCollection
1241,ee.FeatureCollection.filterDate,filterDate,"Shortcut to filter a collection by a date range. The start and end may be Dates, numbers (interpreted as milliseconds since 1970-01-01T00:00:00Z), or strings (such as '1996-01-01T08:00'). Based on 'system:time_start'.",FeatureCollection
1242,ee.ImageCollection.filterBounds,filterBounds,Shortcut to filter a collection by intersection with geometry. Items in the collection with a footprint that fails to intersect the given geometry will be excluded.,ImageCollection
1243,ee.ImageCollection.filterDate,filterDate,"Shortcut to filter a collection by a date range. The start and end may be Dates, numbers (interpreted as milliseconds since 1970-01-01T00:00:00Z), or strings (such as '1996-01-01T08:00'). Based on 'system:time_start'.",ImageCollection
1244,ee.FeatureCollection.limit,limit,"Limit a collection to the specified number of elements, optionally sorting them by a specified property first.",FeatureCollection
1245,ee.ImageCollection.limit,limit,"Limit a collection to the specified number of elements, optionally sorting them by a specified property first.",ImageCollection
1246,ee.Dictionary.size,size,Returns the number of entries in a dictionary.,Integer
1247,ee.FeatureCollection.size,size,Returns the number of elements in the collection.,Integer
1248,ee.ImageCollection.size,size,Returns the number of elements in the collection.,Integer
1249,ee.List.size,size,Returns the number of elements in list.,Integer
1250,ee.FeatureCollection.style,style,Draw a vector collection for visualization using a simple style language.,Image
1251,ee.ImageCollection.style,style,Draw a vector collection for visualization using a simple style language.,Image
1252,ee.String.cat,cat,Concatenates two strings.,String
1253,ee.Array.cat,cat,Concatenates multiple arrays into a single array along the given axis.  Each array must have the same dimensionality and the same length on all axes except the concatenation axis.,Array
1254,ee.Image.cat,cat,Combines the given images into a single image which contains all bands from all of the images.,Image
1255,ee.List.cat,cat,Concatenates the contents of other onto list.,List
1256,ee.FeatureCollection.distinct,distinct,Removes duplicates from a collection. Note that duplicates are determined using a strong hash over the serialized form of the selected properties.,FeatureCollection
1257,ee.ImageCollection.distinct,distinct,Removes duplicates from a collection. Note that duplicates are determined using a strong hash over the serialized form of the selected properties.,ImageCollection
1258,ee.List.distinct,distinct,Returns a copy of list without duplicate elements.,List
1259,ee.FeatureCollection.flatten,flatten,Flattens collections of collections.,FeatureCollection
1260,ee.ImageCollection.flatten,flatten,Flattens collections of collections.,ImageCollection
1261,ee.List.flatten,flatten,Flattens any sublists into a single list.,List
1262,ee.Array.get,get,Extracts the value at the given position from the input array.,Number
1263,ee.Date.get,get,Returns the specified unit of this date.,Long
1264,ee.Dictionary.get,get,"Extracts a named value from a dictionary.  If the dictionary does not contain the given key, then defaultValue is returned, unless it is null.",Object
1265,ee.Feature.get,get,Extract a property from a feature.,EMPTY
1266,ee.FeatureCollection.get,get,Extract a property from a feature.,EMPTY
1267,ee.Image.get,get,Extract a property from a feature.,EMPTY
1268,ee.ImageCollection.get,get,Extract a property from a feature.,EMPTY
1269,ee.List.get,get,Returns the element at the specified position in list.  A negative index counts backwards from the end of the list.,Object
1270,ee.Dictionary.getNumber,getNumber,Extracts a named number value from a dictionary.,Number
1271,ee.Feature.getNumber,getNumber,Extract a property from a feature.,Number
1272,ee.FeatureCollection.getNumber,getNumber,Extract a property from a feature.,Number
1273,ee.Image.getNumber,getNumber,Extract a property from a feature.,Number
1274,ee.ImageCollection.getNumber,getNumber,Extract a property from a feature.,Number
1275,ee.List.getNumber,getNumber,"Returns the number at the specified position in list.  A negative index counts backwards from the end of the list. If the value is not a number, an error will occur.",Number
1276,ee.Dictionary.getArray,getArray,Extracts a named array value from a dictionary.,Array
1277,ee.Feature.getArray,getArray,Extract a property from a feature.,Array
1278,ee.FeatureCollection.getArray,getArray,Extract a property from a feature.,Array
1279,ee.Image.getArray,getArray,Extract a property from a feature.,Array
1280,ee.ImageCollection.getArray,getArray,Extract a property from a feature.,Array
1281,ee.List.getArray,getArray,"Returns the array at the specified position in list.  A negative index counts backwards from the end of the list. If the value is not a array, an error will occur.",Array
1282,ee.Dictionary.getString,getString,Extracts a named string value from a dictionary.,String
1283,ee.Feature.getString,getString,Extract a property from a feature.,String
1284,ee.FeatureCollection.getString,getString,Extract a property from a feature.,String
1285,ee.Image.getString,getString,Extract a property from a feature.,String
1286,ee.ImageCollection.getString,getString,Extract a property from a feature.,String
1287,ee.List.getString,getString,"Returns the string at the specified position in list.  A negative index counts backwards from the end of the list. If the value is not a string, an error will occur.",String
1288,ee.Dictionary.set,set,Set a value in a dictionary.,Dictionary
1289,ee.Feature.set,set,Overrides one or more metadata properties of an Element.,Feature
1290,ee.FeatureCollection.set,set,Overrides one or more metadata properties of an Element.,FeatureCollection
1291,ee.Image.set,set,Overrides one or more metadata properties of an Element.,Image
1292,ee.ImageCollection.set,set,Overrides one or more metadata properties of an Element.,ImageCollection
1293,ee.List.set,set,Replaces the value at the specified position in list with element.  A negative index counts backwards from the end of the list.,List
1294,ee.Feature.geometry,geometry,Returns the geometry of a given feature in a given projection.,Geometry
1295,ee.FeatureCollection.geometry,geometry,Extracts and merges the geometries of a collection. Requires that all the geometries in the collection share the projection and edge interpretation.,Geometry
1296,ee.Image.geometry,geometry,Returns the geometry of a given feature in a given projection.,Geometry
1297,ee.ImageCollection.geometry,geometry,Extracts and merges the geometries of a collection. Requires that all the geometries in the collection share the projection and edge interpretation.,Geometry
1298,ee.FeatureCollection.remap,remap,Remaps the value of a specific property in a collection. Takes two parallel lists and maps values found in one to values in the other. Any element with a value that is not specified in the first list is dropped from the output collection.,FeatureCollection
1299,ee.Image.remap,remap,"Maps from input values to output values, represented by two parallel lists. Any input values not included in the input list are either set to defaultValue if it is given, or masked if it isn't.  Note that inputs containing floating point values might sometimes fail to match due to  floating point precision errors.",Image
1300,ee.ImageCollection.remap,remap,Remaps the value of a specific property in a collection. Takes two parallel lists and maps values found in one to values in the other. Any element with a value that is not specified in the first list is dropped from the output collection.,ImageCollection
1301,ee.Dictionary.select,select,Returns a dictionary with only the specified keys.,Dictionary
1302,ee.Feature.select,select,Selects properties from a feature by name or RE2-compatible regex and optionally renames them.,Feature
1303,ee.FeatureCollection.select,select,Select properties from each Feature in a collection.  It is also possible to call this function with only string arguments; they will be all be interpreted as propertySelectors (varargs).,FeatureCollection
1304,ee.Image.select,select,Selects bands from an image.,Image
1305,ee.ImageCollection.select,select,Select bands from each image in a collection.,ImageCollection
1306,ee.FeatureCollection.classify,classify,Classifies each feature in a collection.,FeatureCollection
1307,ee.Image.classify,classify,Classifies an image.,Image
1308,ee.FeatureCollection.cluster,cluster,"Clusters each feature in a collection, adding a new column to each feature containing the cluster number to which it has been assigned.",FeatureCollection
1309,ee.Image.cluster,cluster,"Applies a clusterer to an image.  Returns a new image with a single band containing values from 0 to N, indicating the cluster each pixel is assigned to.",Image
1310,ee.Image.expression,expression,"Evaluates an arithmetic expression on an image, possibly involving additional images.",Image
1311,ee.Number.expression,expression,Computes a numeric expression.,Number
1312,ee.FeatureCollection.filter,filter,Apply a filter to this collection.,FeatureCollection
1313,ee.ImageCollection.filter,filter,Apply a filter to this collection.,ImageCollection
